wallet_address,wallet_label,chain_key,chain_name,vm,asset_type,symbol,name,contract,balance,price_eur,value_eur,flags
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DOGA,DOGA (crypto),DOGA:crypto,53.47987162,,,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DOGE,DOGE (crypto),DOGE:crypto,765.215628,0.067741,51.836471856348,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DOT,DOT (crypto),DOT:crypto,0.36822642,0.769,0.28316611698,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DUEL,DUEL (crypto),DUEL:crypto,25.90673575,0.0001,0.002590673575,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,EGO,EGO (crypto),EGO:crypto,17.41609,0.0005,0.008708045000000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,EMT,EMT (crypto),EMT:crypto,22.82293,0.000447,0.01020184971,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ERG,ERG (crypto),ERG:crypto,0.35,0.1883,0.06590499999999999,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ESE,ESE (crypto),ESE:crypto,8.52469,0.0067,0.057115423,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ETH,ETH (crypto),ETH:crypto,0.10814073,1552.29,167.8657737717,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,EURC,EURC (crypto),EURC:crypto,82.71749923,1,82.71749923,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,EXVG,EXVG (crypto),EXVG:crypto,6.77010223,0.0001,0.000677010223,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,EYWA,EYWA (crypto),EYWA:crypto,4.39114,0.0005,0.00219557,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,F3,F3 (crypto),F3:crypto,11.32242191,0.0001,0.001132242191,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,FCON,FCON (crypto),FCON:crypto,1448.610213,0.000029,0.042009696177,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,FET,FET (crypto),FET:crypto,5.25364703,0.1539,0.808536277917,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,FOMO,FOMO (crypto),FOMO:crypto,1342.96688,0.000003,0.00402890064,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,FRBK,FRBK (crypto),FRBK:crypto,37.04,0.0004,0.014816,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,FURY,FURY (crypto),FURY:crypto,1.81256,0.0003,0.0005437679999999999,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,GOAL,GOAL (crypto),GOAL:crypto,5.26233,0.001,0.005262330000000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,GOATS,GOATS (crypto),GOATS:crypto,1156.21625,0.0000891,0.103018867875,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,GODL,GODL (crypto),GODL:crypto,42.81647,,,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,GPT,GPT (crypto),GPT:crypto,9.6589,0.00002,0.000193178,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,GTAI,GTAI (crypto),GTAI:crypto,0.28400856,0.0204,0.005793774624000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,HBAR,HBAR (crypto),HBAR:crypto,468.37349804,0.0659,30.865813520836,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,HGPT,HGPT (crypto),HGPT:crypto,5.11569792,0.0012,0.006138837503999999,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,HIPPO,HIPPO (crypto),HIPPO:crypto,34.6624,0.00014,0.004852735999999999,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,HYPE,HYPE (crypto),HYPE:crypto,1.47653679,60.7418,89.68750239082199,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,IAG,IAG (crypto),IAG:crypto,7.15227059,0.0201,0.143760638859,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ICE,ICE (crypto),ICE:crypto,299.77594,0.0022,0.659507068,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ICNT,ICNT (crypto),ICNT:crypto,0.87097,0.1593,0.138745521,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ICP,ICP (crypto),ICP:crypto,1.13368529,1.92,2.1766757568,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,INFRA,INFRA (crypto),INFRA:crypto,0.37477045,0.051,0.01911329295,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,KAS,KAS (crypto),KAS:crypto,35.65035365,0.0272,0.96968961928,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,KIMA,KIMA (crypto),KIMA:crypto,0.33464,0.0036,0.001204704,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,KIP,KIP (crypto),KIP:crypto,9.59079,,,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,LAI,LAI (crypto),LAI:crypto,34.60801,,,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,LIME,LIME (crypto),LIME:crypto,35.95666,0.0017,0.061126322,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,LINGO,LINGO (crypto),LINGO:crypto,3.23375,0.0077,0.024899875,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,LINK,LINK (crypto),LINK:crypto,1.35357445,6.9701,9.434549273945,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,LL,LL (crypto),LL:crypto,16.62034,0.0013,0.021606442,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,LOE,LOE (crypto),LOE:crypto,5.77509,0.0001,0.000577509,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,LTC,LTC (crypto),LTC:crypto,1.37026026,39.79,54.5226557454,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,LVLY,LVLY (crypto),LVLY:crypto,5.08255,0.003,0.01524765,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,LYNX,LYNX (crypto),LYNX:crypto,1.28547312,0.0012,0.001542567744,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,LYX,LYX (crypto),LYX:crypto,0.22427,0.2457,0.055103139,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,M,M (crypto),M:crypto,13.23848708,1.2513,16.565318883204,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,MANTRA,MANTRA (crypto),MANTRA:crypto,4.2844958,0.0059,0.02527852522,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,MEW,MEW (crypto),MEW:crypto,86.94978595,0.000339,0.02947597743705,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,MPC,MPC (crypto),MPC:crypto,7.91011,0.0094,0.074355034,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,MYRO,MYRO (crypto),MYRO:crypto,3.99210755,0.0024,0.00958105812,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,NEIRO,NEIRO (crypto),NEIRO:crypto,2.49114,0.000272,0.0006775900800000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,NFT,NFT (crypto),NFT:crypto,831195.11402,2.3e-7,0.1911748762246,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,NOTAI,NOTAI (crypto),NOTAI:crypto,12712.65085,1.7e-7,0.0021611506445,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,NPC,NPC (crypto),NPC:crypto,7.39761,0.00522,0.0386155242,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,O4DX,O4DX (crypto),O4DX:crypto,3.70208993,0.0003,0.001110626979,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,OP,OP (crypto),OP:crypto,1.74291494,0.0932,0.162439672408,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ORFY,ORFY (crypto),ORFY:crypto,1.49113,0.0005,0.000745565,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,PEPE,PEPE (crypto),PEPE:crypto,254886.7859051,0.00000236,0.6015328147360359,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,PI,PI (crypto),PI:crypto,10.02032403,0.0993,0.9950181761789999,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,PIXFI,PIXFI (crypto),PIXFI:crypto,28.6763,0.000016,0.0004588208,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,QBX,QBX (crypto),QBX:crypto,7.26006,0.0016,0.011616096,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,RBNT,RBNT (crypto),RBNT:crypto,6.34146,0.0035,0.02219511,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,REACH,REACH (crypto),REACH:crypto,7.37677803,0.0005,0.003688389015,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,RITE,RITE (crypto),RITE:crypto,10.32965037,0.00033,0.0034087846221,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,RWS,RWS (crypto),RWS:crypto,0.57296124,0.012,0.006875534880000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SDM,SDM (crypto),SDM:crypto,4.37343,0.0001,0.000437343,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SIDUS,SIDUS (crypto),SIDUS:crypto,194.55295,0.000004,0.0007782118,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SNEK,SNEK (crypto),SNEK:crypto,25.47365,0.000356,0.009068619399999998,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SOL,SOL (crypto),SOL:crypto,1.56808755,71.15,111.5694291825,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SOLV,SOLV (crypto),SOLV:crypto,30.59028,0.00256,0.07831111680000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SQR,SQR (crypto),SQR:crypto,0.86787332,0.0001,0.000086787332,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,STX,STX (crypto),STX:crypto,1.78938183,0.1492,0.266975769036,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SUI,SUI (crypto),SUI:crypto,16.43068411,0.659,10.82782082849,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SUIAI,SUIAI (crypto),SUIAI:crypto,1.00753,0.0011,0.001108283,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SUNDOG,SUNDOG (crypto),SUNDOG:crypto,5.68226,0.0036,0.020456136,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SUPRA,SUPRA (crypto),SUPRA:crypto,39.41808,0.000197,0.007765361760000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,SYNT,SYNT (crypto),SYNT:crypto,5.58232,0.000068,0.00037959776,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,TAI,TAI (crypto),TAI:crypto,5.32093,0.0086,0.045759998,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,TREE,TREE (crypto),TREE:crypto,0.40224,0.0375,0.015084,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,TRIO,TRIO (crypto),TRIO:crypto,0.39634,0.0069,0.002734746,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,TRUMP,TRUMP (crypto),TRUMP:crypto,0.20696262,1.4785,0.30599423367,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,TRX,TRX (crypto),TRX:crypto,294.67601421,0.28831,84.9580416568851,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,TX,TX (crypto),TX:crypto,8.89306,0.00427,0.0379733662,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,UNI,UNI (crypto),UNI:crypto,0.59719966,2.76,1.6482710616,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,USDC,USDC (crypto),USDC:crypto,5.2e-7,0.8744,4.546879999999999e-7,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,VC,VC (crypto),VC:crypto,12.67112636,0.000258,0.00326915060088,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,VDA,VDA (crypto),VDA:crypto,13.09386,0.0001,0.001309386,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,VEXT,VEXT (crypto),VEXT:crypto,10.1471,0.0003,0.00304413,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,VSN,VSN (crypto),VSN:crypto,4.13181482,0.0291,0.120235811262,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,WLTH,WLTH (crypto),WLTH:crypto,8.88935,0.0008,0.007111480000000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,WSDM,WSDM (crypto),WSDM:crypto,13.2911,0.00007,0.0009303769999999999,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,WSI,WSI (crypto),WSI:crypto,55.07449,0.0006,0.03304469399999999,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,XCAD,XCAD (crypto),XCAD:crypto,0.26280955,0.0002,0.00005256191,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,XFI,XFI (crypto),XFI:crypto,0.37779,0.0236,0.008915844000000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,XLM,XLM (crypto),XLM:crypto,197.91900992,0.1749,34.616034835008,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,XRD,XRD (crypto),XRD:crypto,7.61297576,0.00079,0.0060142508504,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,XRP,XRP (crypto),XRP:crypto,191.58160805,0.9957,190.757807135385,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,XSWAP,XSWAP (crypto),XSWAP:crypto,7.9275,0.0058,0.0459795,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ZIG,ZIG (crypto),ZIG:crypto,1.96672,0.0409,0.080438848,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,BCPEUR,BCPEUR (fiat),BCPEUR:fiat,799.67,1,799.67,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,EUR,EUR (fiat),EUR:fiat,7.6,1,7.6,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,AAPL,AAPL (stocks),AAPL:stocks,0.40420844,269.7814685314685,109.047946536014,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ABBV,ABBV (stocks),ABBV:stocks,0.03257359,228.208041958042,7.433555193444056,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ACN,ACN (stocks),ACN:stocks,0.01464314,120.0611888111888,1.758072796328672,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ADBE,ADBE (stocks),ADBE:stocks,0.00865842,192.0629370629371,1.662961575524476,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,AMD-US,AMD-US (stocks),AMD-US:stocks,0.03902256,452.6398601398602,17.6631661006993,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,AMZN,AMZN (stocks),AMZN:stocks,0.38503315,212.1241258741259,81.6748203763112,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ASML,ASML (stocks),ASML:stocks,0.01066442,1634.4,17.429928048,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,AVGO,AVGO (stocks),AVGO:stocks,0.1497983,315.0786713286714,47.19824933129371,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,BABA,BABA (stocks),BABA:stocks,0.09087665,84.03846153846155,7.637133855769232,
